OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
766,MONT,24031700616,5313,1228,0.0,0.0,12.0,,(+/-) 3.2,,,2914723.07278908,9616.10315517333
767,MONT,24031700500,7134,1575,88.0,5.6,7.0,,(+/-) 4.7,,,181521314.78738028,61698.04048938904
768,MONT,24031704803,3991,702,0.0,0.0,7.0,,(+/-) 5.5,,,609620.836110385,4149.938061678453
769,MONT,24031702402,4645,783,17.0,2.2,6.0,,(+/-) 3.3,,,964500.44387794,4771.721016663993
770,MONT,24031701407,5723,1166,71.0,6.1,16.0,,(+/-) 5.7,,,9930017.925628794,15474.118041190108
771,MONT,24031703601,4246,787,7.0,0.9,6.0,,(+/-) 1.4,,,1779309.38901265,5822.1608616262765
772,MONT,24031700618,5673,1175,0.0,0.0,7.0,,(+/-) 3.3,,,2805607.45216111,9463.733119223423
773,MONT,24031703208,5332,1610,85.0,5.3,12.0,,(+/-) 7.9,,,3676063.16941066,10389.932070349416
774,MONT,24031702000,5423,1627,374.0,23.0,11.0,1.0,(+/-) 15.9,,,980532.873938895,4765.203294443938
775,MONT,24031700728,1797,277,36.0,13.0,8.0,,(+/-) 12.9,,,2134590.657842795,6702.751075416321
776,MONT,24031700314,3717,804,0.0,0.0,6.0,,(+/-) 4.8,,,2768877.39823959,7460.878428517339
777,MONT,24031704100,4848,1291,8.0,0.6,11.0,,(+/-) 0.8,,,3805209.52605551,10084.57087183913
778,MONT,24031703301,5185,1432,4.0,0.3,14.0,1.0,(+/-) 0.9,,,1502563.605925725,5512.019912040871
779,MONT,24031700729,3142,670,174.0,25.9,18.0,,(+/-) 20.9,,,1124311.782272045,6826.0903007436245
780,MONT,24031701315,4343,959,76.0,7.9,5.0,,(+/-) 10.2,,,2640690.285472275,7840.028618295646
781,MONT,24031701900,3440,878,601.0,68.5,8.0,1.0,(+/-) 17.1,,,479934.36341243,3905.0104513536357
782,MONT,24031700838,4434,626,64.0,10.3,12.0,,(+/-) 16.3,,,2469204.4149291,8236.353477822126
783,MONT,24031700836,1511,380,0.0,0.0,9.0,,(+/-) 10,,,1112261.95067326,4835.064562589576
784,MONT,24031703602,2634,494,11.0,2.2,7.0,,(+/-) 3.7,,,1105168.40562329,5981.703823322581
785,MONT,24031704805,2620,287,103.0,35.9,4.0,,(+/-) 27.1,,,309158.87160651,2755.8930907358153
786,MONT,24031703000,1718,377,48.0,12.6,11.0,,(+/-) 18.5,,,1087605.109484315,6149.0545724844405
787,MONT,24031704804,2049,231,25.0,10.8,6.0,,(+/-) 11.1,,,344478.380059335,3241.023652350228
788,MONT,24031702101,6379,1597,415.0,26.0,9.0,,(+/-) 14.7,,,1660687.34044489,6170.156554183192
789,MONT,24031701006,5490,1606,8.0,0.5,9.0,,(+/-) 0.8,,,4486924.349377315,8942.827621817765
790,MONT,24031703213,6540,1662,339.0,20.4,12.0,,(+/-) 13.2,,,589374.07427395,3062.541975298754
791,MONT,24031706009,5374,1334,120.0,9.0,9.0,,(+/-) 9.5,,,11817301.805595916,17607.78299638391
792,MONT,24031700308,6880,1638,292.0,17.8,6.0,,(+/-) 19.4,,,2466238.047766055,8025.289729765476
793,MONT,24031706012,3460,496,24.0,4.8,11.0,,(+/-) 6.3,,,2122187.424581555,7010.960223924214
794,MONT,24031701001,5285,1147,155.0,13.5,6.0,,(+/-) 12,,,5130242.797005955,10472.009233916275
795,MONT,24031700822,1684,323,61.0,19.0,8.0,,(+/-) 21.9,,,730285.9833945,4117.538742659658
796,MONT,24031701800,4755,1382,140.0,10.1,6.0,1.0,(+/-) 9.5,,,1506408.355653,6548.555897226331
797,MONT,24031700839,5124,706,35.0,5.0,11.0,,(+/-) 7.8,,,1680006.486512195,5873.679140036547
798,MONT,24031700617,2024,474,1.0,0.2,12.0,,(+/-) 2.3,,,1128338.67176648,5652.6742039159235
799,MONT,24031704501,3185,747,0.0,0.0,9.0,,(+/-) 5.2,,,2216517.66241819,7127.242880353125
800,MONT,24031700721,3515,678,102.0,15.0,3.0,,(+/-) 19.7,,,418108.95670106,3222.7330705813943
801,MONT,24031703901,3410,872,36.0,4.1,7.0,,(+/-) 6,,,1424440.54922178,4917.4071956016605
802,MONT,24031701316,6484,1502,26.0,1.7,10.0,,(+/-) 2.9,,,25694101.553391755,25521.5212530834
803,MONT,24031701306,2524,522,6.0,1.1,11.0,,(+/-) 1.7,,,4597164.188956165,12347.08410193216
804,MONT,24031701223,2973,403,0.0,0.0,6.0,,(+/-) 9.4,,,726462.79264569,4102.7009440067
805,MONT,24031700823,3242,781,148.0,19.0,7.0,,(+/-) 14.6,,,1573387.209007095,5643.680566803952
806,MONT,24031700813,5420,1157,108.0,9.3,10.0,,(+/-) 8.5,,,2490378.37719591,7755.311549383381
807,MONT,24031703206,3669,617,0.0,0.0,6.0,,(+/-) 6.3,,,2667768.68693333,6974.509554287454
808,MONT,24031701602,7166,2545,583.0,22.9,8.0,,(+/-) 13.6,,,1681968.98030904,5634.0579685818475
809,MONT,24031700723,4079,673,0.0,0.0,16.0,,(+/-) 7.1,,,1798784.401173135,6242.895997550646
810,MONT,24031705300,1885,444,0.0,0.0,6.0,,(+/-) 8.6,,,1077819.341704715,5632.511887001762
811,MONT,24031700615,2997,672,47.0,7.0,10.0,,(+/-) 6.6,,,2745583.206744555,9963.365924775191
812,MONT,24031700811,4839,1288,236.0,18.3,11.0,,(+/-) 13.4,,,1519337.28720974,5648.955706602308
813,MONT,24031700710,6972,1737,226.0,13.0,8.0,,(+/-) 18.4,,,3274834.37519864,8545.293422506196
814,MONT,24031702602,5443,1162,46.0,4.0,7.0,,(+/-) 5.7,,,484640.07376226,4751.558201001358
